Rank,Title,Artist(s),Artists Separately
1,"""Believe""",Cher,Cher
2,"""No Scrubs""",TLC,TLC
3,"""Angel of Mine""",Monica,Monica
4,"""Heartbreak Hotel""",Whitney Houston featuring Faith Evans and Kelly Price,Whitney Houston;Faith Evans;Kelly Price
5,"""...Baby One More Time""",Britney Spears,Britney Spears
6,"""Kiss Me""",Sixpence None the Richer,Sixpence None the Richer
7,"""Genie in a Bottle""",Christina Aguilera,Christina Aguilera
8,"""Every Morning""",Sugar Ray,Sugar Ray
9,"""Nobody's Supposed to Be Here""",Deborah Cox,Deborah Cox
10,"""Livin' la Vida Loca""",Ricky Martin,Ricky Martin
11,"""Where My Girls At?""",702,702
12,"""If You Had My Love""",Jennifer Lopez,Jennifer Lopez
13,"""Slide""",Goo Goo Dolls,Goo Goo Dolls
14,"""Have You Ever?""",Brandy,Brandy
15,"""I Want It That Way""",Backstreet Boys,Backstreet Boys
16,"""I'm Your Angel""",R. Kelly and Celine Dion,R. Kelly;Celine Dion
17,"""All Star""",Smash Mouth,Smash Mouth
18,"""Angel""",Sarah McLachlan,Sarah McLachlan
19,"""Smooth""",Santana featuring Rob Thomas,Santana;Rob Thomas
20,"""Unpretty""",TLC,TLC
21,"""Bills, Bills, Bills""",Destiny's Child,Destiny's Child
22,"""Save Tonight""",Eagle-Eye Cherry,Eagle-Eye Cherry
23,"""Last Kiss""",Pearl Jam,Pearl Jam
24,"""Fortunate""",Maxwell,Maxwell
25,"""All I Have to Give""",Backstreet Boys,Backstreet Boys
26,"""Bailamos""",Enrique Iglesias,Enrique Iglesias
27,"""What's It Gonna Be?!""",Busta Rhymes featuring Janet,Busta Rhymes;Janet
28,"""What It's Like""",Everlast,Everlast
29,"""Fly Away""",Lenny Kravitz,Lenny Kravitz
30,"""Someday""",Sugar Ray,Sugar Ray
31,"""Lately""",Divine,Divine
32,"""That Don't Impress Me Much""",Shania Twain,Shania Twain
33,"""Wild Wild West""",Will Smith featuring Dru Hill and Kool Moe Dee,Will Smith;Dru Hill;Kool Moe Dee
34,"""Scar Tissue""",Red Hot Chili Peppers,Red Hot Chili Peppers
35,"""Heartbreaker""",Mariah Carey featuring Jay-Z,Mariah Carey;Jay-Z
36,"""I Still Believe""",Mariah Carey,Mariah Carey
37,"""The Hardest Thing""",98 Degrees,98 Degrees
38,"""Summer Girls""",LFO,LFO
39,"""Can I Get A...""",Jay-Z featuring Amil and Ja Rule,Jay-Z;Amil;Ja Rule
40,"""Jumper""",Third Eye Blind,Third Eye Blind
41,"""Doo Wop (That Thing)""",Lauryn Hill,Lauryn Hill
42,"""Mambo No. 5""",Lou Bega,Lou Bega
43,"""Sweet Lady""",Tyrese,Tyrese
44,"""It's Not Right but It's Okay""",Whitney Houston,Whitney Houston
45,"""(God Must Have Spent) A Little More Time on You""",'N Sync,'N Sync
46,"""Lullaby""",Shawn Mullins,Shawn Mullins
47,"""Anywhere""",112 featuring Lil Zane,112;Lil Zane
48,"""Tell Me It's Real""",K-Ci & JoJo,K-Ci & JoJo
49,"""Back 2 Good""",Matchbox 20,Matchbox 20
50,"""808""",Blaque,Blaque
51,"""She's So High""",Tal Bachman,Tal Bachman
52,"""She's All I Ever Had""",Ricky Martin,Ricky Martin
53,"""Miami""",Will Smith,Will Smith
54,"""Hands""",Jewel,Jewel
55,"""Who Dat""",JT Money featuring Solé,JT Money;Solé
56,"""Please Remember Me""",Tim McGraw,Tim McGraw
57,"""From This Moment On""",Shania Twain,Shania Twain
58,"""Love Like This""",Faith Evans,Faith Evans
59,"""You""",Jesse Powell,Jesse Powell
60,"""Trippin'""",Total featuring Missy Elliott,Total;Missy Elliott
61,"""If You""",Silk,Silk
62,"""Ex-Factor""",Lauryn Hill,Lauryn Hill
63,"""Give It to You""",Jordan Knight,Jordan Knight
64,"""Black Balloon""",Goo Goo Dolls,Goo Goo Dolls
